"Statistic","CensusYear","Sex","Age Last Birthday","At Each Year of Age","UNIT","VALUE"
"Population 2011 to 2016","2011","Male","17 years","Population at or over this age","Number","1713517"
"Population 2011 to 2016","2011","Male","18 years","Population","Number","29107"
"Population 2011 to 2016","2011","Male","18 years","Population at or under this age","Number","616889"
"Population 2011 to 2016","2011","Male","18 years","Population at or over this age","Number","1684917"
"Population 2011 to 2016","2011","Male","19 years","Population","Number","28562"
"Population 2011 to 2016","2011","Male","19 years","Population at or under this age","Number","645451"
"Population 2011 to 2016","2011","Male","19 years","Population at or over this age","Number","1655810"
"Population 2011 to 2016","2011","Male","20 years","Population","Number","30178"
"Population 2011 to 2016","2011","Male","20 years","Population at or under this age","Number","675629"
"Population 2011 to 2016","2011","Male","20 years","Population at or over this age","Number","1627248"
"Population 2011 to 2016","2011","Male","21 years","Population","Number","28773"
"Population 2011 to 2016","2011","Male","21 years","Population at or under this age","Number","704402"
"Population 2011 to 2016","2011","Male","21 years","Population at or over this age","Number","1597070"
"Population 2011 to 2016","2011","Male","22 years","Population","Number","28506"
"Population 2011 to 2016","2011","Male","22 years","Population at or under this age","Number","732908"
"Population 2011 to 2016","2011","Male","22 years","Population at or over this age","Number","1568297"
"Population 2011 to 2016","2011","Male","23 years","Population","Number","28977"
"Population 2011 to 2016","2011","Male","23 years","Population at or under this age","Number","761885"
"Population 2011 to 2016","2011","Male","23 years","Population at or over this age","Number","1539791"
"Population 2011 to 2016","2011","Male","24 years","Population","Number","30202"
"Population 2011 to 2016","2011","Male","24 years","Population at or under this age","Number","792087"
"Population 2011 to 2016","2011","Male","24 years","Population at or over this age","Number","1510814"
"Population 2011 to 2016","2011","Male","25 years","Population","Number","31407"
"Population 2011 to 2016","2011","Male","25 years","Population at or under this age","Number","823494"
"Population 2011 to 2016","2011","Male","25 years","Population at or over this age","Number","1480612"
"Population 2011 to 2016","2011","Male","26 years","Population","Number","32844"
"Population 2011 to 2016","2011","Male","26 years","Population at or under this age","Number","856338"
"Population 2011 to 2016","2011","Male","26 years","Population at or over this age","Number","1449205"
"Population 2011 to 2016","2011","Male","27 years","Population","Number","34313"
"Population 2011 to 2016","2011","Male","27 years","Population at or under this age","Number","890651"
"Population 2011 to 2016","2011","Male","27 years","Population at or over this age","Number","1416361"
"Population 2011 to 2016","2011","Male","28 years","Population","Number","36781"
"Population 2011 to 2016","2011","Male","28 years","Population at or under this age","Number","927432"
"Population 2011 to 2016","2011","Male","28 years","Population at or over this age","Number","1382048"
"Population 2011 to 2016","2011","Male","29 years","Population","Number","38369"
"Population 2011 to 2016","2011","Male","29 years","Population at or under this age","Number","965801"
"Population 2011 to 2016","2011","Male","29 years","Population at or over this age","Number","1345267"
"Population 2011 to 2016","2011","Male","30 years","Population","Number","40573"
"Population 2011 to 2016","2011","Male","30 years","Population at or under this age","Number","1006374"
"Population 2011 to 2016","2011","Male","30 years","Population at or over this age","Number","1306898"
"Population 2011 to 2016","2011","Male","31 years","Population","Number","40544"
"Population 2011 to 2016","2011","Male","31 years","Population at or under this age","Number","1046918"
"Population 2011 to 2016","2011","Male","31 years","Population at or over this age","Number","1266325"
"Population 2011 to 2016","2011","Male","32 years","Population","Number","38656"
"Population 2011 to 2016","2011","Male","32 years","Population at or under this age","Number","1085574"
"Population 2011 to 2016","2011","Male","32 years","Population at or over this age","Number","1225781"
"Population 2011 to 2016","2011","Male","33 years","Population","Number","37590"
"Population 2011 to 2016","2011","Male","33 years","Population at or under this age","Number","1123164"
"Population 2011 to 2016","2011","Male","33 years","Population at or over this age","Number","1187125"
"Population 2011 to 2016","2011","Male","34 years","Population","Number","37411"
"Population 2011 to 2016","2011","Male","34 years","Population at or under this age","Number","1160575"
"Population 2011 to 2016","2011","Male","34 years","Population at or over this age","Number","1149535"
"Population 2011 to 2016","2011","Male","35 years","Population","Number","37144"
"Population 2011 to 2016","2011","Male","35 years","Population at or under this age","Number","1197719"
"Population 2011 to 2016","2011","Male","35 years","Population at or over this age","Number","1112124"
"Population 2011 to 2016","2011","Male","36 years","Population","Number","37020"
"Population 2011 to 2016","2011","Male","36 years","Population at or under this age","Number","1234739"
"Population 2011 to 2016","2011","Male","36 years","Population at or over this age","Number","1074980"
"Population 2011 to 2016","2011","Male","37 years","Population","Number","36251"
"Population 2011 to 2016","2011","Male","37 years","Population at or under this age","Number","1270990"
"Population 2011 to 2016","2011","Male","37 years","Population at or over this age","Number","1037960"
"Population 2011 to 2016","2011","Male","38 years","Population","Number","36328"
"Population 2011 to 2016","2011","Male","38 years","Population at or under this age","Number","1307318"
"Population 2011 to 2016","2011","Male","38 years","Population at or over this age","Number","1001709"
"Population 2011 to 2016","2011","Male","39 years","Population","Number","35494"
"Population 2011 to 2016","2011","Male","39 years","Population at or under this age","Number","1342812"
"Population 2011 to 2016","2011","Male","39 years","Population at or over this age","Number","965381"
"Population 2011 to 2016","2011","Male","40 years","Population","Number","35375"
"Population 2011 to 2016","2011","Male","40 years","Population at or under this age","Number","1378187"
"Population 2011 to 2016","2011","Male","40 years","Population at or over this age","Number","929887"
"Population 2011 to 2016","2011","Male","41 years","Population","Number","34432"
"Population 2011 to 2016","2011","Male","41 years","Population at or under this age","Number","1412619"
"Population 2011 to 2016","2011","Male","41 years","Population at or over this age","Number","894512"
"Population 2011 to 2016","2011","Male","42 years","Population","Number","32768"
"Population 2011 to 2016","2011","Male","42 years","Population at or under this age","Number","1445387"
"Population 2011 to 2016","2011","Male","42 years","Population at or over this age","Number","860080"
"Population 2011 to 2016","2011","Male","43 years","Population","Number","32171"
"Population 2011 to 2016","2011","Male","43 years","Population at or under this age","Number","1477558"
"Population 2011 to 2016","2011","Male","43 years","Population at or over this age","Number","827312"
"Population 2011 to 2016","2011","Male","44 years","Population","Number","31584"
"Population 2011 to 2016","2011","Male","44 years","Population at or under this age","Number","1509142"
"Population 2011 to 2016","2011","Male","44 years","Population at or over this age","Number","795141"
"Population 2011 to 2016","2011","Male","45 years","Population","Number","31285"
"Population 2011 to 2016","2011","Male","45 years","Population at or under this age","Number","1540427"
"Population 2011 to 2016","2011","Male","45 years","Population at or over this age","Number","763557"
"Population 2011 to 2016","2011","Male","46 years","Population","Number","31265"
"Population 2011 to 2016","2011","Male","46 years","Population at or under this age","Number","1571692"
"Population 2011 to 2016","2011","Male","46 years","Population at or over this age","Number","732272"
"Population 2011 to 2016","2011","Male","47 years","Population","Number","30383"
